store,outlet_code,scraped_at_utc,item_id,item_code,name,long_description,uom,price,is_promo,promo_percent,promo_type_id,promo_header_id,final_price,stock_in_hand,is_available,is_selling_today,min_qty,max_qty,department_code,sub_department_code,category_code,image_url
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
cargills,Colombo,2025-12-25T21:48:52+00:00,0,,No Products Found,No Products Found,,,,,,,,,,,,,,,,
